epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;273.131;3.63854;4.35021;4.24718;0.00641;0.00908;0.00132;0.00037;3.78211;4.90098;4.2673;0.00332514;0.00332514;0.00332514
2;496.386;3.38609;3.87051;3.91098;0.21972;0.22432;0.1301;0.03784;2.70857;3.06471;2.93626;0.00659256;0.00659256;0.00659256
3;717.728;2.44803;2.42405;2.6819;0.271;0.24389;0.147;0.05404;2.31804;2.82729;2.58689;0.00979397;0.00979397;0.00979397
4;938.588;2.11946;2.02335;2.31771;0.47369;0.38365;0.36625;0.15682;2.06465;2.1389;2.22709;0.009703;0.009703;0.009703
5;1159.98;1.9947;1.81181;2.13947;0.54538;0.45982;0.48029;0.22189;1.86514;1.93107;2.00812;0.009604;0.009604;0.009604
6;1381.44;1.93156;1.6931;2.06737;0.66848;0.56744;0.62757;0.30575;1.78551;1.57511;1.89181;0.009505;0.009505;0.009505
7;1602.33;1.87145;1.59171;2.00348;0.71649;0.62753;0.66357;0.33951;1.69661;1.43425;1.82087;0.009406;0.009406;0.009406
8;1823.27;1.85278;1.53024;1.97111;0.71595;0.60307;0.67265;0.34869;1.65555;1.38042;1.77545;0.009307;0.009307;0.009307
9;2044.98;1.80726;1.45673;1.9231;0.75902;0.67086;0.73382;0.39108;1.64301;1.2656;1.77945;0.009208;0.009208;0.009208
10;2264.91;1.7834;1.40009;1.8975;0.72377;0.63535;0.69781;0.35937;1.67238;1.32892;1.786;0.009109;0.009109;0.009109
11;2484.81;1.75668;1.35035;1.85983;0.80516;0.68064;0.77036;0.42975;1.53053;1.19005;1.6727;0.00901;0.00901;0.00901
12;2704.89;1.74745;1.31922;1.84297;0.82096;0.68064;0.77643;0.43596;1.53001;1.1263;1.68231;0.008911;0.008911;0.008911
13;2925.62;1.70556;1.27629;1.81563;0.84922;0.74388;0.81173;0.46984;1.48313;1.07761;1.63741;0.008812;0.008812;0.008812
14;3146.73;1.70271;1.2506;1.80575;0.81434;0.69043;0.78262;0.44987;1.49765;1.165;1.64134;0.008713;0.008713;0.008713
15;3367.76;1.67416;1.22363;1.78033;0.81757;0.76731;0.81678;0.46812;1.44407;1.10155;1.57897;0.008614;0.008614;0.008614
16;3588.54;1.65812;1.19271;1.76652;0.8449;0.74913;0.82586;0.48251;1.46885;1.01537;1.57931;0.008515;0.008515;0.008515
17;3809.35;1.63055;1.1507;1.7443;0.8486;0.74493;0.82151;0.48118;1.44312;1.007;1.56456;0.008416;0.008416;0.008416
18;4030.13;1.6245;1.14806;1.73217;0.83792;0.76591;0.82817;0.48004;1.47043;1.02397;1.56058;0.008317;0.008317;0.008317
19;4250.86;1.61223;1.1423;1.72205;0.83795;0.78057;0.83596;0.49983;1.41051;0.9582;1.54047;0.008218;0.008218;0.008218
20;4471.86;1.5931;1.09395;1.69366;0.84495;0.77708;0.83545;0.50095;1.4115;0.93288;1.53273;0.008119;0.008119;0.008119
21;4692.69;1.57001;1.06445;1.67876;0.85842;0.79385;0.85519;0.51985;1.3876;0.91237;1.51994;0.00802;0.00802;0.00802
22;4913.32;1.55687;1.07138;1.67262;0.86137;0.74773;0.82185;0.47717;1.4637;1.00535;1.57492;0.007921;0.007921;0.007921
